Date,Shift,Machine_ID,Operator_ID,Fabric_Type,Target_Output_Meters,Actual_Output_Meters,Defect_Rate_Percent,Machine_Downtime_Minutes,Power_Consumption_kWh,Rework_Required_Meters,Operator_Experience_Years,Ambient_Temperature_C,Humidity_Percent,Production_Efficiency_Percent,Comments
2024-01-05,Morning,M020,O031,Polyester,1124,955,9.51,13,294.41,15,1.3,31.0,74.6,84.96,Smooth
2024-04-17,Night,M005,O001,Blend,935,879,7.08,0,320.96,15,4.9,28.4,61.0,94.01,Power Cut
2024-02-10,Morning,M017,O026,Blend,924,806,2.91,9,328.6,19,7.1,27.8,71.4,87.23,Smooth
2024-01-07,Morning,M020,O040,Polyester,805,627,5.14,8,356.11,10,1.4,28.5,78.0,77.89,Smooth
2024-04-12,Afternoon,M003,O033,Blend,829,900,8.08,3,364.55,24,2.3,28.1,59.8,108.56,Smooth
2024-02-05,Night,M013,O010,Cotton,1047,747,9.09,2,286.74,23,8.4,33.3,47.4,71.35,Breakdown
2024-04-17,Morning,M012,O042,Polyester,897,975,7.75,28,360.93,45,1.8,32.6,47.8,108.7,Smooth
2024-03-29,Afternoon,M019,O033,Polyester,854,613,3.25,4,388.69,14,4.6,28.4,61.7,71.78,Low Quality Yarn
2024-03-07,Afternoon,M018,O011,Cotton,977,738,8.02,0,379.11,28,11.7,32.7,43.0,75.54,Smooth
2024-02-11,Night,M006,O012,Polyester,945,797,1.16,19,274.59,9,5.0,33.3,53.0,84.34,Power Cut
2024-02-06,Afternoon,M003,O019,Cotton,1147,1137,6.38,21,298.11,43,11.5,29.8,62.5,99.13,Smooth
2024-03-15,Night,M004,O050,Polyester,938,945,4.94,7,330.07,13,1.0,29.8,65.5,100.75,Smooth
2024-04-21,Afternoon,M016,O049,Cotton,889,734,5.09,23,323.28,29,3.8,25.5,43.1,82.56,Smooth
2024-02-07,Afternoon,M010,O034,Polyester,1194,974,1.61,26,375.07,43,12.2,33.5,47.5,81.57,Smooth
2024-01-13,Afternoon,M001,O044,Polyester,878,928,5.39,16,334.54,13,3.8,32.0,57.1,105.69,Smooth
2024-02-20,Night,M015,O001,Polyester,965,991,8.61,0,217.24,18,2.2,31.0,53.5,102.69,Humidity Issue
2024-04-09,Afternoon,M002,O039,Cotton,1129,1216,3.23,7,302.85,59,14.5,34.2,50.1,107.71,Smooth
2024-02-01,Morning,M015,O005,Polyester,1137,1022,3.01,3,355.12,30,1.2,28.7,51.1,89.89,Low Quality Yarn
2024-03-21,Morning,M017,O007,Cotton,982,1044,2.4,1,366.99,20,10.2,30.0,70.5,106.31,Smooth
2024-04-16,Morning,M014,O038,Cotton,986,783,7.28,4,420.26,24,1.8,34.2,73.4,79.41,Smooth
2024-01-31,Afternoon,M019,O005,Blend,932,771,1.87,0,435.33,8,7.9,32.6,49.1,82.73,Low Quality Yarn
2024-03-21,Morning,M017,O017,Polyester,1035,991,1.74,11,381.03,15,5.4,29.5,44.5,95.75,Low Quality Yarn
2024-03-18,Night,M009,O045,Polyester,1169,1250,8.77,2,402.19,40,8.2,31.6,49.7,106.93,Breakdown
2024-01-20,Night,M010,O041,Cotton,1040,766,8.97,23,278.0,18,11.0,33.6,75.9,73.65,Smooth
2024-04-18,Night,M009,O047,Polyester,821,866,7.8,10,361.31,8,2.0,32.5,66.5,105.48,Smooth
2024-03-29,Night,M014,O014,Blend,994,697,1.61,7,402.47,13,10.8,34.0,49.5,70.12,Smooth
2024-02-27,Morning,M006,O003,Blend,1054,874,7.46,10,371.22,28,1.9,32.8,54.7,82.92,Smooth
2024-01-29,Morning,M006,O011,Blend,1147,924,2.44,36,393.93,32,12.0,29.3,60.1,80.56,Smooth
2024-03-26,Night,M018,O050,Polyester,883,821,4.93,2,301.85,9,9.9,32.9,47.1,92.98,Breakdown
2024-02-15,Morning,M018,O045,Cotton,1186,1276,9.54,24,343.79,62,14.5,32.2,74.1,107.59,Breakdown
2024-03-17,Afternoon,M014,O028,Cotton,1096,896,3.85,19,303.7,28,14.1,28.5,67.8,81.75,Smooth
2024-01-01,Morning,M003,O038,Polyester,938,870,0.97,9,402.87,34,10.6,30.2,68.1,92.75,Smooth
2024-03-19,Afternoon,M011,O017,Blend,1066,899,2.94,16,365.22,41,7.9,30.8,60.1,84.33,Smooth
2024-02-14,Afternoon,M003,O006,Polyester,1009,1028,6.5,12,361.61,24,5.9,30.5,43.8,101.88,Breakdown
2024-02-19,Afternoon,M003,O047,Polyester,975,908,0.36,6,260.58,30,0.9,31.1,41.5,93.13,Smooth
2024-03-08,Night,M010,O013,Polyester,808,831,3.6,1,428.02,15,9.5,30.4,43.4,102.85,Smooth
2024-02-28,Afternoon,M015,O045,Blend,907,653,5.31,7,418.17,32,8.0,32.5,52.9,72.0,Low Quality Yarn
2024-03-30,Night,M009,O016,Cotton,1055,1074,2.71,5,311.41,18,2.8,35.0,50.0,101.8,Smooth
2024-04-02,Afternoon,M008,O020,Cotton,1104,1015,7.15,10,368.86,34,6.6,35.0,49.9,91.94,Smooth
2024-01-23,Morning,M006,O006,Blend,976,822,7.58,0,338.13,11,7.6,35.6,58.9,84.22,Smooth
2024-01-07,Afternoon,M020,O005,Polyester,844,649,4.34,5,427.15,7,5.9,34.0,65.0,76.9,Smooth
